description,url,Couleur,price,Age,Couleur du véhicule,Puissance fiscale,Kilométrage,Cylindrée moto,Superficie,Etat du véhicule,title,Modèle,Boite,Etat,Marque,Genre,Année,Carburant,Type de transaction,Type de carrosserie,Salles de bains,Livraison,Chambres,Cylindrée
"À louer par #jour S1 meublé + garage pour voiture à sousse ville près de gazarna sousse et clinique yosr et prés de tout commodité num :
Afficher le numéro
للكراء باليوم استديو بسوسة بجانب مصحة اليسر و بجانب الاكاديمية العسكرية . الرقم:
Afficher le numéro
whatapp;
Afficher le numéro",https://www.tayara.tn/item/locations-de-vacances/sousse/sousse/-louer-par-jour-s1-meubl-garage-pour-voiture-sousse-ville-prs-de-gazarna-sousse-et-clinique-yosr-et-prs-de-tout-commodit-num-58-770-620-58770620-whatapp-21626996231/6a13f5f8e853e69bec0709cb/,,7,,,,,,120,,À louer par #jour S1 meublé + garage pour voiture à sousse ville près de gazarna sousse et clinique yosr et prés de tout commodité num : 58 770 620 للكراء باليوم استديو بسوسة بجانب مصحة اليسر و بجانب الاكاديمية العسكرية . الرقم: 58770620 whatapp; +21626996231,,,,,,,,À Louer,,1,,1,
"a vendre polo 7 toute options voiture neuf 4cv 1.2 :tel
Afficher le numéro",https://www.tayara.tn/item/voitures/ben-arous/autres-villes/polo-7-unique-20km-/6a1434842257200009cc7481/,,0,,Blanc,4,20,,,Nouveau,polo 7 unique 🚘 20km تسجيل أول,Polo,Manuelle,,Volkswagen,,2012,Essence,,Autres,,,,1.2L
"Afficher le numéro
VOITURE PEUGEOT 301 ACTIVE

 PREMIÈRE MAIN TRÈS PROPRE 

VOITURE A L'ÉTAT ORIGINE JAMAIS

 TOUCHÉE OU RETOUCHÉE PEINTURE

 D'ORIGINE 

4 VITRES ÉLECTRIQUES 

DISPONIBLE A ARIANA",https://www.tayara.tn/item/voitures/ariana/ariana/peugeot-301-premire-main-en-excellent-tat-bote-manuelle/6a13ec41453ae0812f0a0e6d/,,34500,,Gris,5,87000,,,Avec kilométrage,PEUGEOT 301 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE,301,Automatique,,Peugeot,,2023,Essence,,Berline,,,,1.2L
"À vendre : Citroën C4 Cactus
Année : 2015
Première main
Utilisée soigneusement par une femme

Motorisation : Essence
Boîte : Manuelle
Cylindrée : 1.2 L
Couleur : Blanche

Kilométrage : 184 000 km
Prix : 36 000 DT

Voiture en bon état général, économique et confortable.

Tél : 2997092

Contact sérieux uniquement.",https://www.tayara.tn/item/voitures/tunis/tunis/citron-c4-cactus-2015-premire-main-vendre/6a1413cd453ae0812f0a1bf9/,,36000,,Blanc,5,184000,,,Avec kilométrage,Citroën C4 Cactus 2015 Première Main à Vendre,C4 Cactus,Manuelle,,Citroen,,2015,Essence,,Autres,,,,1.2L
"SKODA KAROQ FIN SERIE MODEL FIN 2021/10 FIN SERIE ETAT NEUF VOITURE TT OPTIONS POUR PLUS D INFOS
Afficher le numéro",https://www.tayara.tn/item/voitures/sousse/sahloul/skoda-karoq-fin-serie-importe/6a143041e853e69bec0722db/,,0,,Bleu,6,140,,,Nouveau,SKODA KAROQ FIN SERIE IMPORTE🇩🇪,Fabia,Manuelle,,Skoda,,2022,Essence,,Compacte,,,,<1.0L
"𝑨𝒗𝒆𝒏𝒅𝒓𝒆 🚘Bmw x1 2l essence restylé phase 2 kit M// individuel 🚘
Voiture SUV Importè d’Allemagne 🇩🇪🇩🇪 

 ☎️ 𝑪𝒐𝒏𝒕𝒂𝒄𝒕 :
✅158000km
 certifié 
✅modèle 2015
✅Essence (n46b20)
✅9ch
✅boite manuelle 6 vitesse 

📌full options 📌

✓ toit panoramique ouvrant 
✓ salon M alcantara
✓ ecran idrive avec bleutooth/dvd/tv
✓ led avant et arrière 
✓ phare full led 
✓ lave phare
✓ Capteur Avant et arrière 
✓ Camera de recule 
✓ Clima-afficheur bizone 
✓ jantes par 18
✓ Retroviseurs rabattables
✓ capteur de lumiére et de pluit 
✓ start and stop
✓ système alarme origine 
✓ vitres teintées origines
Etc….

💯Voiture neuf peinture origine très bien entretenu aucun dépense à prévoir 💯",https://www.tayara.tn/item/voitures/tunis/l-aouina/belle-bmw-x1-phase-2-bvm-pack-m-full-options/6a141adf453ae0812f0a1eee/,,1,,Bleu,9,158000,,,Avec kilométrage,Belle BMW x1 phase 2 bvm pack M full options,X1,Manuelle,,BMW,,2015,Essence,,Utilitaire,,,,2.0L
"TELEPHONE
Afficher le numéro
PEUGEOT 208 NOUVEAU MODE

 PREMIERE MAIN TRÈS PROPRE 

BOÎTE MANUELLE 

VOITURE A L'ETAT ORIGINE PEINTURE DE

 LA MAISON 

TOUTE OPTION 

ÉCRAN TACTILE 

ORDINATEUR DE BORD 

 VITRES ELECTRIQUES 

BLOO TOUTH TÉLÉPHONE A MAIN LIBRE 

CLIMATISEUR EN FONCTION 

CONNECTIVITÉ AUX 

VITRES TEINTE D'ORIGINE 

FERMETURE CENTRALISÉE

FIXATION ISOFLEX 

DISPONIBLE A BIZERTE",https://www.tayara.tn/item/voitures/bizerte/bizerte-nord/peugeot-208-premire-main-en-excellent-tat-bote-manuelle/6a142578453ae0812f0a241b/,,0,,Gris,5,70000,,,Avec kilométrage,PEUGEOT 208 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE,208,Automatique,,Peugeot,,2023,Essence,,Berline,,,,1.2L
"TELEPHONE
Afficher le numéro
PEUGEOT 208 NOUVEAU MODE

 PREMIERE MAIN TRÈS PROPRE 

BOÎTE MANUELLE 

VOITURE A L'ETAT ORIGINE PEINTURE DE

 LA MAISON 

TOUTE OPTION 

ÉCRAN TACTILE 

ORDINATEUR DE BORD 

 VITRES ELECTRIQUES 

BLOO TOUTH TÉLÉPHONE A MAIN LIBRE 

CLIMATISEUR EN FONCTION 

CONNECTIVITÉ AUX 

VITRES TEINTE D'ORIGINE 

FERMETURE CENTRALISÉE

FIXATION ISOFLEX 

DISPONIBLE A BIZERTE",https://www.tayara.tn/item/voitures/bizerte/bizerte-nord/peugeot-208-premire-main-en-excellent-tat-bote-manuelle/6a1407a3453ae0812f0a16b5/,,0,,Gris,5,70000,,,Avec kilométrage,PEUGEOT 208 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE,208,Automatique,,Peugeot,,2023,Essence,,Berline,,,,1.2L
"Afficher le numéro
PEUGEOT 301 ESSENCE 5 CV

PREMIÈRE MAIN EN TRÈS BON ÉTAT 

VOITURE TRÈS PROPRE INTÉRIEUR ET

 EXTÉRIEUR 

CLIMATISEUR EN FONCTION 

BLOO TOUTH TÉLÉPHONE MAIN LIBRE 

CONNECTIVITÉ AUX 

FERMETURE CENTRALISÉE 

ANTI BROUILLARD 

DISPONIBLE A BORJ LOUZIR ARIANA",https://www.tayara.tn/item/voitures/ariana/borj-louzir/peugeot-301-premire-main-trs-propre-bote-manuelle/6a13ef9c453ae0812f0a0f3e/,,34500,,Blanc,5,80000,,,Avec kilométrage,PEUGEOT 301 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE,301,Automatique,,Peugeot,,2022,Essence,,Berline,,,,1.2L
"Je mets en vente ma Kia Cerato en boîte automatique, immatriculée en août 2015, en bon état.
C'est une voiture très bien entretenue, non-fumeur, offrant un excellent confort de conduite et une grande fiabilité, idéale aussi bien pour la ville que pour les longs trajets en famille.

Points clés & Caractéristiques :
 - Kilométrage : 120 000 km (réels et certifiés)
 - Transmission : Boîte Automatique
 - Couleur : Noir

État du véhicule :
- Aucun frais immédiat à prévoir.
 -Entretien régulier et rigoureux.
Pour plus d'informations ou pour une visite, merci de me contacter.",https://www.tayara.tn/item/voitures/tunis/el-menzah-9/kia-cerato/6a143d12e853e69bec0728eb/,,35000,,Noir,8,120000,,,Avec kilométrage,kia Cerato,Cerato,Automatique,,Kia,,2015,Essence,,Berline,,,,1.6L
"L'agence immo contact met en location a el hammamet nord ( pas tres loin du rond point de omar khayem et a 3mn en voiture de l hotel ) pour 900 dt par semaine un s plus 2 neuf meublé au rez de chaussée (120m) avec climatisation, salle d'eau douche , pour familles (wb4453) frais de visite 20dt",https://www.tayara.tn/item/appartements/nabeul/mrezga/s-plus-2-meubl-a-el-mrezga-wb4453/6a13f36fe853e69bec07092f/,,900,,,,,,120,,s plus 2 meublé a el mrezga wb4453,,,,,,,,À Louer,,1,,2,
"🖤 TIGUAN R-LINE BLACK ÉDITION 245 HP ETAT NEUUUUF
Tel :
Afficher le numéro
✅ voiture dédouanée fin serie tu 262

➤motorisation: essence hybride 8 cv
➤mise en circulation 09/2021
➤100.000 km
➤toit ouvrant/panoramique 
➤lumière d’ambiance 
➤Affichage tête haute 
➤ Digital Cockpit Pro
➤ Palettes au volant
➤Projecteurs IQ.Light - Matrix LED
➤camera de recul
➤sièges sport R-line
➤ sièges chauffants 
➤volant chauffant 
➤parking automatique 
➤chargeur sans fil 
➤ Volant sport R
➤jantes alluminium sport par 18
➤attelage de remorquage rabattable
➤rétroviseur rabattable 
➤freinage d’urgence
➤bluetooth
➤régulateur de vitesse adaptatif ACC 
➤écran tactile
➤clim auto multi-zone
➤capteur AR/AV
➤TOUTES OPTIONS",https://www.tayara.tn/item/voitures/sousse/sousse/tiguan-rline-black-dition-serie-262/6a14421d2257200009cc7b26/,,0,,Gris,8,100000,,,Avec kilométrage,TIGUAN R-LINE BLACK ÉDITION serie 262,Tiguan,Automatique,,Volkswagen,,2022,Hybride essence,,Berline,,,,1.4L
"voiture en bonne etat, jamais accidentee",https://www.tayara.tn/item/voitures/monastir/monastir/bonne-occasion/6a142a13e853e69bec071fce/,,1000,,Autre,9,170000,,,Avec kilométrage,bonne occasion,Passat,Manuelle,,Volkswagen,,2011,Diesel,,,,,,2.0L
VOITURE BONNE OCCASION PAPIER ET ENTRETIEN EN REGLE,https://www.tayara.tn/item/voitures/tunis/cit-el-khadra/c3-bonne-occasion/6a1418e6453ae0812f0a1e24/,,25000,,Autre,5,250000,,,Avec kilométrage,C3 BONNE OCCASION,C3,Manuelle,,Citroen,,2012,Essence,,Compacte,,,,1.2L
"A louer a Sousse chat mariem tantana côté Mer dans une zone calme un appartement de type S3 spacieux meublé. l'appartement au 1ere étage vu mer équipée de climatisation gaze de vill,chauffage central et avec entrée 2 voiture .
location annuelle 
prix:1900dt
pour plus d'informations merci de nous contacter sur
agence immobilière Mouna tantana chat mariem.",https://www.tayara.tn/item/appartements/sousse/chatt-mariem/a-louer-a-sousse-chat-mariem-ct-mer-un-appartement-s3-spacieux-haute-standing-meubl-avec-entre-2-voiture-prix1900dt-tlph97517614mouna/6a06a4252257200009c7a655/,,1900,,,,,,150,,A louer a Sousse chat mariem côté Mer un appartement s3 spacieux haute standing meublé avec entrée 2 voiture prix:1900dt tlph:97517614Mouna,,,,,,,,À Louer,,2,,4,
"je mets en vente ma peugeot 3008
voiture propre
première main
année 2021
kilométrage 103.000
tel",https://www.tayara.tn/item/voitures/mdenine/djerba-houmt-souk/3008/6a143c2f2257200009cc7841/,,63000,,Argent,7,103000,,,Avec kilométrage,3008,3008,Automatique,,Peugeot,,2021,Essence,,4 x 4,,,,1.3L
"À louer par #jour S1 meublé + garage pour voiture à sousse ville près de gazarna sousse et clinique yosr et prés de tout commodité num :
Afficher le numéro
للكراء باليوم استديو بسوسة بجانب مصحة اليسر و بجانب الاكاديمية العسكرية . الرقم:
Afficher le numéro
whatapp;
Afficher le numéro",https://www.tayara.tn/item/locations-de-vacances/sousse/sousse/-louer-par-jour-s1-meubl-garage-pour-voiture-sousse-ville-prs-de-gazarna-sousse-et-clinique-yosr-et-prs-de-tout-commodit-num-58-770-620-58770620-whatapp-21626996231/6a1432122257200009cc7396/,,7,,,,,,120,,À louer par #jour S1 meublé + garage pour voiture à sousse ville près de gazarna sousse et clinique yosr et prés de tout commodité num : 58 770 620 للكراء باليوم استديو بسوسة بجانب مصحة اليسر و بجانب الاكاديمية العسكرية . الرقم: 58770620 whatapp; +21626996231,,,,,,,,À Louer,,1,,1,
"a vendre mercedes benz C180 essence 1.6 
boite automatique 
tt options 
voiture jamais accidenté 
serieux. Contacter",https://www.tayara.tn/item/voitures/sfax/route-tunis/mercedes-benz-c180-essence-2009-kompresseur-16/6a14287d2257200009cc6eed/,,45000,,Noir,9,250000,,,Avec kilométrage,mercedes Benz c180 essence 2009 kompresseur 1.6,Classe C,Automatique,,Mercedes-Benz,,2009,Essence,,Berline,,,,1.6L
"je mit en vente 
voiture golf 6 1.6 diesel 
couleur noir
4 vitres électriques 
accoudoir avant 
puissance fiscale 5 cv
moteur économie et fiable 
conduite confortable 
climatisation climatronic
écran tactile 
absent
papier en règle 
double clé 
année 2010
contacté :",https://www.tayara.tn/item/voitures/monastir/ksar-hellal/golf-6-tt-options/6a12eca9e853e69bec06b75b/,,31500,,Noir,5,420,,,Avec kilométrage,Golf 6 tt options,Golf 6,Manuelle,,Volkswagen,,2010,Diesel,,Compacte,,,,1.6L
"À vendre en urgence – Terrain constructible de 1000 m² à Hammamet Sud, situé à seulement 3,8 km de la Marina Yasmine Hammamet, environ 7 minutes en voiture.

Le terrain se trouve dans une résidence privée avec accès réservé aux résidents, dans un environnement calme et résidentiel, déjà entouré de villas construites, dont plusieurs avec piscine.

Caractéristiques principales :
• Superficie : 1000 m²
• Titre foncier individuel
• Vente directe propriétaire
• Terrain constructible
• Eau et électricité disponibles
• Accès depuis route principale goudronnée
• Résidence privée avec accès réservé
• Quartier calme, entouré de villas
• Idéal pour villa familiale, résidence secondaire ou investissement immobilier

La photo du plan présente le véritable plan architectural préparé pour ce terrain, prêt à être exécuté sur demande pour l’acheteur souhaitant construire la villa.

L’acheteur peut donc acquérir uniquement le terrain, ou demander un accompagnement complet pour la construction de la villa selon le plan existant.

Prix urgent : 429 000 DT
Prix étudié pour vente rapide, légèrement négociable devant acheteur sérieux.

Visite possible sur rendez-vous.
Acheteurs sérieux uniquement.

Contact :",https://www.tayara.tn/item/terrains-et-fermes/nabeul/hammamet/-vendre-en-urgence-terrain-1000-m-hammamet-sud/6a1052d2e853e69bec05fadc/,,429000,,,,,,,,À vendre en urgence – Terrain 1000 m² à Hammamet Sud,,,,,,,,,,,,,
"À vendre — Volkswagen Golf Mk7 Golf 7
📅 2017
🔄 Boîte DSG automatique 
📍184.000 km
🖥️ Poste tactile
🛞 Voiture propre et bien entretenue
❄️ Clim, vitres électriques, volant multifonction…
🔧 Moteur / boîte en très bon état",https://www.tayara.tn/item/voitures/ariana/el-menzah-8/golf-7/6a1333bb2257200009cc23fb/,,123,,Noir,6,184000,,,Avec kilométrage,Golf 7,Golf,Automatique,,Volkswagen,,2017,Essence,,Berline,,,,1.2L
"Particulier vend terrain à 1 km de Midoun et à 1.5 km de la plage vol d'oiseau, et à moins de 10 mn en voiture.
Coordonnées Google Earth : Latitude : 33-49'16.14 N // Longitude : 11-0'13.46 E
Accès facile par route goudronnée.
Superficie : 1790 m2
Comprend : 10 oliviers et 3 palmiers
Vocation selon le PAU de Midoun : UAa1 zone résidentielle isolée
Titre de propriété individuel : En cours. dossier constitué et déposé dans le circuit.
Possibilité de raccordement en électricité et eau potable
Zone résidentielle, très calme avec un bon voisinage.
Prix légèrement négociable : 150 d/m2, soit 268 500 d",https://www.tayara.tn/item/terrains-et-fermes/mdenine/djerba-midoun/1790-m2-midoun-ne-pas-rater/6a130220e853e69bec06bfb3/,,268499,,,,,,,,1790 m2 à Midoun à ne pas rater,,,,,,,,,,,,,
"🚗 À vendre : Seat Ibiza Référence – Modèle 2015 🚗
Voiture en très bon état, propre et bien entretenue.
✅ Modèle : Seat Ibiza Référence couleur Gris technique37
✅ Année : 2015
✅ 5 CV
✅ 5 portes
✅ Kilométrage : 111 680 km
✅ 1ère main
✅ Date de mise en circulation : 03/07/2015
Options et équipements :
✔️ Roue de secours jamais utilisée
✔️ Alarme
✔️ Radar de recul
✔️ Climatisation
✔️ 2 vitres avant électriques
📌 Tous les entretiens ont été effectués chez l’agence Volkswagen.
📷 Photos ci-jointes.
Pour plus d’informations, merci de me contacter sur ces 2 numéros
Adresse : Cité ibn khaldoun tunis près terminus métro 3",https://www.tayara.tn/item/voitures/tunis/el-omrane-suprieur/vente-voiture/6a1365e3453ae0812f09ef53/,,37000,,Gris,5,111680,,,Nouveau,Vente voiture,Ibiza,Manuelle,,Seat,,,Essence,,Autres,,,,3.0L
"A vendre ou à échanger une Très belle BMW Série 5 F10 520d Diesel ⛽ 10 chevaux 2.0L
Boîte automatique et toit 
Toute option.
voiture en très bon état comme neuf zéro dépenses à prévoir 
⏩ Boîte Auto Cobra 
⏩ Toit ouvrant 
⏩ LED et bi-xeno d'origine 
⏩ Feu et essuie glace auto
⏩ écran Central 
⏩ Radar avant et arrière avec Caméra
⏩ Bluetooth 
⏩ Limitateur et régulateur de vitesse 
⏩ Siège Sport électrique meémorisable 
⏩ Volon Cuir multifonction 
⏩ Jantes Alu par 18
⏩ 
Km :220.000 km
Énergie : Diesel 10 chevaux 2.0L
Modèle : Fin 2015
Prix négociable dans les limites possible 
Téléphone
Disponible à Manouba",https://www.tayara.tn/item/voitures/la-manouba/la-manouba/bmw-520d-f10-fin-2015-toute-options/6a1335c82257200009cc24c8/,,1,,Gris,10,220000,,,Nouveau,BMW 520d f10 fin 2015 toute options,Serie 5,Automatique,,BMW,,2015,Diesel,,Berline,,,,2.0L
particulier vend mercedes e 220 cdi diesel en exelent état avant-garde amg boite vitesse automatique palette cuir climatronic rétroviseur rabattable électrique climatrinic détecteur de lumière et pluie jantes aluminium...voiture acheté de maison mercedes,https://www.tayara.tn/item/voitures/tunis/el-menzah-1/mercedes-e-220-cdi-premire-main/6a13199f453ae0812f09cfd1/,,59000,,Noir,10,300000,,,Nouveau,Mercedes e 220 cdi première main,Classe E,Automatique,,Mercedes-Benz,,2012,Diesel,,Berline,,,,2.0L
"je met en vente Ford fiesta titanum ecoboost 
5cv essence 
année 2017
kilométrage : 130k 
voiture très bien entretenu . 
pour plus d’informations contactez moi sur :",https://www.tayara.tn/item/voitures/tunis/tunis/ford-fiesta-titanum-ecoboost/6a12f67be853e69bec06bb12/,,35,,Bleu,5,130,,,Avec kilométrage,Ford fiesta titanum ecoboost,Fiesta,Manuelle,,Ford,,2017,Essence,,Compacte,,,,<1.0L
"une voiture tt neuf 
peu roulée
5 chauveaux issence gaz d'origine 
full option 
voiture impeccable économique 
model 2023 
numéro à contactée",https://www.tayara.tn/item/voitures/sousse/m-saken/dacia-sendero-importe-issence-gaz-dorigine/6a13302b2257200009cc228e/,,46,,Blanc,5,50000,,,Avec kilométrage,dacia sendero importe issence gaz d'origine,Sandero,Manuelle,,Dacia,,2023,Essence,,Compacte,,,,1.2L
"Avendre SUZUKI CIAZ en bon état, tout les vitres d'origine , voiture spacieuse et tout options: Climatisé, 4 vitre Électrique, rétroviseurs électriques, radar de recul...
PRIX FIXE",https://www.tayara.tn/item/voitures/ariana/ariana-essoughra/suzuki-ciaz/6a12e0d8453ae0812f09ba67/,,28000,,Noir,5,262000,,,Avec kilométrage,SUZUKI CIAZ,SX4,Manuelle,,Suzuki,,2018,Essence,,Berline,,,,1.4L
"je mets en vent cette voiture 
Renault Clio bombe base",https://www.tayara.tn/item/voitures/monastir/ouerdanine/voiture/6a13393ee853e69bec06d534/,,16500,,Bleu,12,290,,,Avec kilométrage,voiture,Clio,Manuelle,,Renault,,1999,Essence,,,,,,>4.0L
